epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,3566.31,0.91102,1.48654,0.82514,1.08916,0,0.85487,0.73092,0.78332,0.5641,0.77848,0.621,0.64636,0.20263,1.03689,1.20078,1.02214,1.09312,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,3678.34,0.90482,1.49133,0.79477,1.07756,0,0.79544,0.71835,0.73636,0.53585,0.72448,0.64659,0.61084,0.18593,1.07835,1.2251,1.05663,1.09855,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,3778.38,0.91172,1.47733,0.79738,1.09246,0,0.85792,0.72749,0.7952,0.56476,0.78321,0.62651,0.64396,0.19373,1.09973,1.21332,1.02817,1.08896,0,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,3873.55,0.91512,1.50986,0.81407,1.09439,0,0.80561,0.68241,0.74579,0.54644,0.70397,0.59438,0.58605,0.19127,1.02409,1.1926,1.0221,1.0748,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,3968.71,0.8962,1.49059,0.7992,1.07596,0,0.83163,0.75904,0.78565,0.57797,0.72015,0.65109,0.61838,0.20373,1.06723,1.19768,1.02774,1.08687,0,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4064.25,0.90373,1.47025,0.79092,1.08604,0,0.85261,0.71084,0.78249,0.56569,0.76392,0.63052,0.63082,0.20882,1.04895,1.20135,1.04108,1.05973,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,4159.86,0.88986,1.46939,0.78664,1.07978,0,0.85225,0.71815,0.78234,0.5731,0.78743,0.62249,0.61847,0.19499,1.04726,1.23093,1.00829,1.08768,0,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,4255.73,0.89031,1.48988,0.78984,1.07636,0,0.83145,0.69341,0.77697,0.55763,0.74419,0.59839,0.60294,0.1972,1.01803,1.19663,1.04925,1.07168,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,4351.58,0.88692,1.47282,0.77715,1.07203,0,0.8206,0.71888,0.76836,0.53888,0.70996,0.61847,0.60207,0.19305,1.0838,1.21189,1.08212,1.09003,0,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,4446.73,0.89405,1.45358,0.77713,1.08584,0,0.8414,0.72442,0.78578,0.56326,0.75459,0.64214,0.61835,0.19789,1.03866,1.21974,1.02469,1.04723,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,4541.82,0.88548,1.46006,0.77721,1.07662,0,0.83289,0.72289,0.78718,0.5614,0.7311,0.63454,0.6291,0.19968,1.02722,1.24598,1.0015,1.07794,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,4637.81,0.88098,1.46866,0.77111,1.0706,0,0.82251,0.73896,0.78631,0.57449,0.7389,0.64257,0.63738,0.21234,1.01687,1.19786,1.03388,1.05557,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,4733.5,0.87817,1.45515,0.76826,1.07336,0,0.79211,0.70281,0.75846,0.55125,0.68742,0.61044,0.57134,0.1893,1.04228,1.21404,1.04712,1.09447,0,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,4828.64,0.87179,1.44455,0.75709,1.06708,0,0.82167,0.70319,0.78304,0.55031,0.72913,0.62249,0.6124,0.19534,1.07789,1.20498,1.05416,1.11037,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,4924.45,0.87827,1.46798,0.7546,1.06788,0,0.81209,0.71084,0.76111,0.53978,0.7355,0.63855,0.62324,0.19626,1.05591,1.2025,1.04954,1.11239,0,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,5020.77,0.87125,1.45543,0.75932,1.07108,0,0.84332,0.71334,0.78312,0.56956,0.73061,0.64659,0.62058,0.20104,0.99414,1.18843,1.00622,1.07262,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,5116.9,0.87172,1.46979,0.7591,1.07014,0,0.80514,0.77993,0.80338,0.57929,0.71294,0.67825,0.62451,0.20066,0.98174,1.19165,0.99373,1.06862,0,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
